,DATE,STATION_ID,CLASS,DEPTH_M,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY,LON,LAT
172,08/20/91 00:00:00,A1,Surface,1.0,3.7,22.0,26.0,-73.82666666666667,40.80333333333333
174,08/20/91 00:00:00,A2M,Surface,1.0,4.2,21.5,26.5,-73.78333333333333,40.80166666666666
176,08/20/91 00:00:00,A3,Surface,1.0,5.7,22.0,26.5,-73.755,40.84166666666667
178,08/21/91 00:00:00,A1,Surface,1.0,3.8,22.2,24.0,-73.82666666666667,40.80333333333333
180,08/21/91 00:00:00,A2M,Surface,1.0,4.2,22.1,24.0,-73.78333333333333,40.80166666666666
182,08/21/91 00:00:00,A3,Surface,1.0,5.2,21.9,25.0,-73.755,40.84166666666667
184,08/21/91 00:00:00,A4,Surface,1.0,5.2,21.6,25.5,-73.735,40.87638888888889
186,08/21/91 00:00:00,H-D,Surface,1.0,4.5,20.2,25.5,-73.66000000000001,40.845
188,08/21/91 00:00:00,H-C,Surface,1.0,5.2,22.3,25.0,-73.67500000000001,40.865
190,08/21/91 00:00:00,H-C1,Surface,1.0,5.8,23.5,25.5,-73.69500000000001,40.88666666666666
192,08/21/91 00:00:00,A5,Surface,1.0,5.6,22.5,25.0,-73.68666666666667,40.89833333333333
194,08/21/91 00:00:00,H-B,Surface,1.0,5.8,22.5,25.5,-73.715,40.91333333333333
196,08/21/91 00:00:00,H-A3,Surface,1.0,6.0,22.5,25.5,-73.72,40.92333333333333
198,08/21/91 00:00:00,H-A2,Surface,1.0,5.8,21.8,24.5,-73.723333,40.928333
200,08/21/91 00:00:00,H-A1,Surface,1.0,4.6,22.0,24.0,-73.723333,40.926667
202,08/21/91 00:00:00,H-A,Surface,1.0,5.5,21.0,24.0,-73.725,40.921667
204,08/21/91 00:00:00,MilH,Surface,1.0,4.4,21.0,25.0,-73.699722,40.943889
206,08/21/91 00:00:00,MamH,Surface,1.0,5.2,20.8,24.0,-73.715278,40.940833
208,08/22/91 00:00:00,B4,Surface,1.0,5.6,22.0,24.0,-73.635,40.90666666666667
210,08/22/91 00:00:00,B3M,Surface,1.0,5.7,22.0,25.0,-73.64500000000001,40.91999999999999
212,08/22/91 00:00:00,B2,Surface,1.0,6.0,21.0,26.0,-73.65333333333334,40.935
214,08/22/91 00:00:00,B1S,Surface,1.0,6.0,21.5,25.0,-73.66666666666667,40.94499999999999
216,08/22/91 00:00:00,C1,Surface,1.0,6.0,22.0,25.0,-73.58,40.955
218,08/22/91 00:00:00,C2,Surface,1.0,6.2,21.5,25.0,-73.5,40.985
220,08/22/91 00:00:00,D1,Surface,1.0,6.5,21.0,26.0,-73.431667,41.035
222,08/22/91 00:00:00,D2,Surface,1.0,5.0,22.0,25.0,-73.421667,41.015
224,08/22/91 00:00:00,D3M,Surface,1.0,5.0,22.0,25.0,-73.406667,40.983333
226,08/22/91 00:00:00,D4,Surface,1.0,5.2,22.0,25.0,-73.398333,40.968333
228,08/26/91 00:00:00,A1,Surface,1.0,4.7,23.0,25.0,-73.82666666666667,40.80333333333333
230,08/26/91 00:00:00,A2M,Surface,1.0,4.8,22.5,25.0,-73.78333333333333,40.80166666666666
232,08/26/91 00:00:00,A3,Surface,1.0,5.8,23.0,25.0,-73.755,40.84166666666667
234,08/26/91 00:00:00,A4,Surface,1.0,5.8,24.0,26.0,-73.735,40.87638888888889
236,08/26/91 00:00:00,H-D,Surface,1.0,6.0,23.0,26.0,-73.66000000000001,40.845
238,08/26/91 00:00:00,H-C,Surface,1.0,7.0,23.0,26.0,-73.67500000000001,40.865
240,08/26/91 00:00:00,H-C1,Surface,1.0,8.0,23.0,27.0,-73.69500000000001,40.88666666666666
242,08/26/91 00:00:00,A5,Surface,1.0,8.0,22.5,27.0,-73.68666666666667,40.89833333333333
244,08/26/91 00:00:00,H-B,Surface,1.0,7.5,23.0,26.5,-73.715,40.91333333333333
246,08/26/91 00:00:00,H-A3,Surface,1.0,8.0,23.0,27.0,-73.72,40.92333333333333
248,08/26/91 00:00:00,H-A2,Surface,1.0,8.2,22.5,27.0,-73.723333,40.928333
250,08/26/91 00:00:00,H-A1,Surface,1.0,8.5,22.5,27.0,-73.723333,40.926667
252,08/26/91 00:00:00,H-A,Surface,1.0,8.0,22.0,27.0,-73.725,40.921667
254,08/26/91 00:00:00,MilH,Surface,1.0,7.7,22.5,26.5,-73.699722,40.943889
256,08/26/91 00:00:00,MamH,Surface,1.0,8.2,23.0,26.0,-73.715278,40.940833
258,08/27/91 00:00:00,B4,Surface,1.0,9.0,22.5,25.0,-73.635,40.90666666666667
260,08/27/91 00:00:00,B3M,Surface,1.0,9.0,22.5,25.0,-73.64500000000001,40.91999999999999
262,08/27/91 00:00:00,B2,Surface,1.0,8.6,23.0,25.5,-73.65333333333334,40.935
264,08/27/91 00:00:00,B1S,Surface,1.0,5.2,23.0,25.5,-73.66666666666667,40.94499999999999
266,08/27/91 00:00:00,C1,Surface,1.0,6.2,22.5,25.5,-73.58,40.955
268,08/27/91 00:00:00,C2,Surface,1.0,7.4,22.5,25.5,-73.5,40.985
270,08/27/91 00:00:00,D1,Surface,1.0,8.0,23.0,26.0,-73.431667,41.035
272,08/27/91 00:00:00,D2,Surface,1.0,7.8,23.0,26.5,-73.421667,41.015
274,08/27/91 00:00:00,D3M,Surface,1.0,7.2,23.0,26.0,-73.406667,40.983333
276,08/27/91 00:00:00,D4,Surface,1.0,8.0,23.0,26.0,-73.398333,40.968333
278,09/03/91 00:00:00,A1,Surface,1.0,5.0,22.1,25.0,-73.82666666666667,40.80333333333333
280,09/03/91 00:00:00,A2M,Surface,1.0,5.4,21.5,25.0,-73.78333333333333,40.80166666666666
282,09/03/91 00:00:00,A3,Surface,1.0,5.7,21.1,25.5,-73.755,40.84166666666667
284,09/03/91 00:00:00,A4,Surface,1.0,6.6,21.2,25.5,-73.735,40.87638888888889
286,09/03/91 00:00:00,H-D,Surface,1.0,8.0,21.8,25.0,-73.66000000000001,40.845
288,09/03/91 00:00:00,H-C,Surface,1.0,9.0,22.2,25.5,-73.67500000000001,40.865
290,09/03/91 00:00:00,H-C1,Surface,1.0,8.0,21.8,25.5,-73.69500000000001,40.88666666666666
292,09/03/91 00:00:00,A5,Surface,1.0,7.5,21.5,26.0,-73.68666666666667,40.89833333333333
294,09/03/91 00:00:00,H-B,Surface,1.0,6.5,22.1,26.0,-73.715,40.91333333333333
296,09/03/91 00:00:00,H-A3,Surface,1.0,6.0,21.6,26.0,-73.72,40.92333333333333
298,09/03/91 00:00:00,H-A2,Surface,1.0,6.2,21.6,26.0,-73.723333,40.928333
300,09/03/91 00:00:00,H-A1,Surface,1.0,6.0,21.5,26.0,-73.723333,40.926667
302,09/03/91 00:00:00,H-A,Surface,1.0,6.2,21.6,26.0,-73.725,40.921667
304,09/03/91 00:00:00,MilH,Surface,1.0,5.0,21.2,26.0,-73.699722,40.943889
306,09/03/91 00:00:00,MamH,Surface,1.0,7.0,21.8,25.5,-73.715278,40.940833
308,09/04/91 00:00:00,B4,Surface,1.0,7.3,21.9,26.0,-73.635,40.90666666666667
310,09/04/91 00:00:00,B3M,Surface,1.0,6.7,21.2,25.5,-73.64500000000001,40.91999999999999
312,09/04/91 00:00:00,B2,Surface,1.0,6.6,21.5,26.5,-73.65333333333334,40.935
314,09/04/91 00:00:00,B1S,Surface,1.0,4.9,21.5,26.5,-73.66666666666667,40.94499999999999
316,09/04/91 00:00:00,C1,Surface,1.0,6.2,21.5,27.0,-73.58,40.955
322,07/07/92 00:00:00,A1,Surface,1.0,5.5,18.1,26.5,-73.82666666666667,40.80333333333333
327,07/07/92 00:00:00,A2M,Surface,1.0,7.4,17.6,26.0,-73.78333333333333,40.80166666666666
330,07/07/92 00:00:00,A3,Surface,1.0,10.2,18.0,26.5,-73.755,40.84166666666667
333,07/07/92 00:00:00,A4,Surface,1.0,9.2,17.6,26.5,-73.735,40.87638888888889
336,07/07/92 00:00:00,H-D,Surface,1.0,8.0,17.3,27.0,-73.66000000000001,40.845
339,07/07/92 00:00:00,H-C,Surface,1.0,11.0,18.2,27.0,-73.67500000000001,40.865
342,07/07/92 00:00:00,H-C1,Surface,1.0,10.6,18.5,27.5,-73.69500000000001,40.88666666666666
345,07/07/92 00:00:00,A5,Surface,1.0,10.6,18.4,27.5,-73.68666666666667,40.89833333333333
348,07/07/92 00:00:00,H-B,Surface,1.0,11.7,18.8,27.5,-73.715,40.91333333333333
351,07/07/92 00:00:00,H-A3,Surface,1.0,8.3,18.4,27.5,-73.72,40.92333333333333
354,07/07/92 00:00:00,B1S,Surface,1.0,10.3,18.2,27.5,-73.66666666666667,40.94499999999999
359,07/07/92 00:00:00,B2,Surface,1.0,10.6,18.8,28.0,-73.65333333333334,40.935
364,07/07/92 00:00:00,B3M,Surface,1.0,10.5,18.6,27.5,-73.64500000000001,40.91999999999999
367,07/07/92 00:00:00,B4,Surface,1.0,10.7,18.6,27.0,-73.635,40.90666666666667
372,07/07/92 00:00:00,C1,Surface,1.0,10.8,19.0,27.5,-73.58,40.955
377,07/07/92 00:00:00,C2,Surface,1.0,7.8,16.6,26.5,-73.5,40.985
380,07/07/92 00:00:00,DI2,Surface,1.0,8.7,18.8,27.5,-73.76666666666667,40.89444444444445
383,07/07/92 00:00:00,DI1,Surface,1.0,8.7,18.8,27.5,-73.77333333333333,40.8925
388,07/13/92 00:00:00,A1,Surface,1.0,3.4,19.0,25.5,-73.82666666666667,40.80333333333333
389,07/13/92 00:00:00,A2M,Surface,1.0,3.6,18.2,24.5,-73.78333333333333,40.80166666666666
396,07/13/92 00:00:00,A3,Surface,1.0,5.1,18.5,25.0,-73.755,40.84166666666667
399,07/13/92 00:00:00,A4,Surface,1.0,6.3,18.9,25.5,-73.735,40.87638888888889
402,07/13/92 00:00:00,H-D,Surface,1.0,5.5,20.9,26.0,-73.66000000000001,40.845
405,07/13/92 00:00:00,H-C,Surface,1.0,6.5,19.8,26.0,-73.67500000000001,40.865
408,07/13/92 00:00:00,H-C1,Surface,1.0,6.5,19.0,25.5,-73.69500000000001,40.88666666666666
411,07/13/92 00:00:00,A5,Surface,1.0,6.2,18.8,26.0,-73.68666666666667,40.89833333333333
414,07/13/92 00:00:00,H-B,Surface,1.0,5.2,17.8,26.0,-73.715,40.91333333333333
417,07/13/92 00:00:00,H-A3,Surface,1.0,5.5,17.9,26.0,-73.72,40.92333333333333
420,07/13/92 00:00:00,B1S,Surface,1.0,5.7,17.7,26.0,-73.66666666666667,40.94499999999999
425,07/13/92 00:00:00,B2,Surface,1.0,6.2,18.2,26.0,-73.65333333333334,40.935
430,07/13/92 00:00:00,B3M,Surface,1.0,7.0,19.0,26.0,-73.64500000000001,40.91999999999999
433,07/13/92 00:00:00,B4,Surface,1.0,8.2,20.3,27.0,-73.635,40.90666666666667
438,07/13/92 00:00:00,C1,Surface,1.0,7.3,19.2,26.5,-73.58,40.955
443,07/13/92 00:00:00,C2,Surface,1.0,6.8,18.0,26.0,-73.5,40.985
446,07/13/92 00:00:00,DI2,Surface,1.0,5.3,18.6,26.0,-73.76666666666667,40.89444444444445
449,07/13/92 00:00:00,DI1,Surface,1.0,5.6,18.7,26.0,-73.77333333333333,40.8925
454,07/21/92 00:00:00,A1,Surface,1.0,4.6,20.6,25.5,-73.82666666666667,40.80333333333333
459,07/21/92 00:00:00,A2M,Surface,1.0,5.2,20.6,25.5,-73.78333333333333,40.80166666666666
462,07/21/92 00:00:00,A3,Surface,1.0,7.3,20.6,26.0,-73.755,40.84166666666667
465,07/21/92 00:00:00,A4,Surface,1.0,10.6,21.2,26.0,-73.735,40.87638888888889
468,07/21/92 00:00:00,H-D,Surface,1.0,6.6,22.6,26.0,-73.66000000000001,40.845
471,07/21/92 00:00:00,H-C,Surface,1.0,10.2,22.0,26.5,-73.67500000000001,40.865
474,07/21/92 00:00:00,H-C1,Surface,1.0,9.7,20.9,25.5,-73.69500000000001,40.88666666666666
477,07/21/92 00:00:00,A5,Surface,1.0,12.0,20.9,25.5,-73.68666666666667,40.89833333333333
480,07/21/92 00:00:00,H-B,Surface,1.0,10.2,21.0,26.5,-73.715,40.91333333333333
483,07/21/92 00:00:00,H-A3,Surface,1.0,8.5,19.9,26.5,-73.72,40.92333333333333
486,07/21/92 00:00:00,B1S,Surface,1.0,8.8,21.4,27.0,-73.66666666666667,40.94499999999999
491,07/21/92 00:00:00,B2,Surface,1.0,9.9,20.7,26.0,-73.65333333333334,40.935
496,07/21/92 00:00:00,B3M,Surface,1.0,10.6,20.8,26.0,-73.64500000000001,40.91999999999999
499,07/21/92 00:00:00,B4,Surface,1.0,10.6,21.3,26.0,-73.635,40.90666666666667
504,07/21/92 00:00:00,C1,Surface,1.0,11.5,21.5,27.0,-73.58,40.955
509,07/21/92 00:00:00,C2,Surface,1.0,12.2,21.6,27.5,-73.5,40.985
512,07/21/92 00:00:00,DI2,Surface,1.0,10.8,21.2,27.0,-73.76666666666667,40.89444444444445
515,07/21/92 00:00:00,DI1,Surface,1.0,10.7,21.3,27.0,-73.77333333333333,40.8925
520,07/27/92 00:00:00,A1,Surface,1.0,3.5,21.2,24.0,-73.82666666666667,40.80333333333333
525,07/27/92 00:00:00,A2M,Surface,1.0,4.0,20.7,24.5,-73.78333333333333,40.80166666666666
